mod_type	logFC after training	SE training	P-value training	I2	Gene
base_model	-0.01977430246694	0.0230948837765284	0.391876076097708	77.9821041898602	PCMTD2
base_model	-0.00167531134156081	0.0107014302800898	0.87559933167913	82.9905574843861	FAM87A
base_model	-0.016654895562828	0.025964891337695	0.521237460445622	NA	LINC01128
base_model	-0.00575703650423609	0.00525747083231683	0.273507808425864	4.96518125449045	SAMD11
base_model	-0.00486965550900261	0.00821855924482121	0.553502856858223	49.7752077708146	KLHL17
base_model	0.104634898347791	0.024231395974002	1.57339668795863e-05	NA	ISG15
base_model	0.0756051934521961	0.0209280562878502	0.000303114353801988	NA	AGRN
base_model	0.0377020900286028	0.0169077818358652	0.0257563316251867	41.0271519204358	B3GALT6
base_model	0.000326998372824925	0.0121640649434558	0.978553589345209	NA	SCNN1D
base_model	-0.0348414230356373	0.0135044532873134	0.00988017228659071	NA	PUSL1
base_model	0.0432360377853857	0.0337189023855503	0.199755219445763	NA	CPTP
base_model	0.0655598885254669	0.0292862842466851	0.0251828157047958	NA	VWA1
base_model	-0.0209981761106578	0.0152242106177287	0.167813969489712	NA	ATAD3A
base_model	0.00127212157161443	0.00746383029839956	0.864665556537279	NA	ATAD3B
time	-0.0344357987002232	0.0126246540652204	0.00637847825497071	28.3992281316619	MIB2
base_model	-0.482700077436666	0.0825529967141573	5.00054796970841e-09	NA	CALML6
base_model	0.00687084648320166	0.00393099281880479	0.080487330899554	45.6846396312556	GABRD
base_model	-0.00319125029504254	0.00128809605988158	0.0132308623209751	0	PRKCZ
base_model	-0.00637245085730525	0.00976708531631238	0.514116461747578	53.420642769754	FAAP20
base_model	-0.000556780502943344	0.0082578198287629	0.946243656460932	37.4512761294428	SKI
base_model	-0.0443002364585963	0.0126094294946872	0.000442639847908709	NA	RER1
base_model	0.217086157466388	0.0869211999762032	0.0125070596139478	NA	PRXL2B
base_model	0.00269622033418518	0.0124746700761728	0.82888204865606	NA	ACTRT2
base_model	0.000437833714464172	0.00133277012828305	0.742523021788173	0.844831831559447	PRDM16
time	-0.0286528563057914	0.00716889971916522	6.41970168784782e-05	0.360019663069218	TPRG1L
base_model	5.26832314541299e-05	0.00158919612813384	0.973554278028237	5.20930298012619	TP73
base_model	-0.00107166274823468	0.00156877946426792	0.49453177547921	0	CCDC27
